id,x_ned,y_ned,latitude,longitude,confidence,timestamp
1,7.148997738792592,-4.371721691712234,47.39780630190982,8.545536088463457,0.4232545495033264,1782230137.2491436
2,7.867280655578611,7.30904072325762,47.39781276250576,8.545690821769664,0.5180121064186096,1782230137.5483177
3,7.358492762723689,7.052483758933438,47.39780818619711,8.545687423189827,0.481440007686615,1782230137.7050722
4,6.037424504673407,-3.9764291989869935,47.39779630382583,8.545541324853332,0.4005970358848572,1782230137.7168045
5,7.047967342851639,6.96168172458868,47.397805393165726,8.545686220344086,0.6350363492965698,1782230137.79061
6,6.642595080184516,6.812647587926549,47.397801747031515,8.545684246105209,0.428008109331131,1782230137.905039
7,6.382143303693508,6.732824490341902,47.39779940438922,8.545683188696838,0.5510415434837341,1782230137.987265
8,5.976597291398305,6.530584604024118,47.397795756692695,8.545680509650007,0.4507448971271515,1782230138.0984182
9,6.071156932143267,-3.3315287098108923,47.397796607237005,8.545549867750777,0.4546414613723755,1782230138.3786895
10,14.524376202867499,-13.114285610923286,47.39787263990629,8.545420276822455,0.4155365824699402,1782230138.3907843
11,7.988839989330922,8.163935008727677,47.39781385586555,8.545702146428685,0.4489434063434601,1782230138.498105
12,3.983143564626377,0.289615122789704,47.397777826532064,8.545597836485694,0.4552612900733948,1782230139.2561507
13,4.94556843271051,0.2749777338191906,47.397786483098116,8.545597642587115,0.42349088191986084,1782230139.6619055
14,4.178448263246796,0.3160844470236114,47.39777958320738,8.545598187120781,0.40604960918426514,1782230139.8531082
15,3.828265916198651,0.3349150559983951,47.397776433479294,8.545598436566623,0.4185769259929657,1782230139.9614024
16,3.1593955569058156,0.38786523990320165,47.397770417300094,8.545599137988726,0.45175066590309143,1782230140.153833
17,2.861004550572112,0.39432162812457716,47.39776773341117,8.5455992235152,0.45017877221107483,1782230140.2602742
18,2.5935314593008476,0.4150877751029569,47.397765327614536,8.54559949860076,0.40679478645324707,1782230140.3593285
19,12.63048137815005,-6.637110371546586,47.397855605297465,8.545506079119972,0.4134153723716736,1782230141.254812
20,-3.4083744172511876,1.641576701142252,47.39771134324799,8.545615745679395,0.42966774106025696,1782230144.6558247
